sku,nombre,categoria,stock,precio,proveedor,ultima_actualizacion
LAP001,Laptop Dell XPS 13,Informática,15,899.99,Dell Inc.,2024-01-10
,Monitor LG 27",Periféricos,8,250.50,,2024-01-11
TEC003,Teclado Mecánico,Periféricos,0,45.00,Logitech,
RAT004,Ratón Inalámbrico,Periféricos,50,0,Logitech,2024-01-13
LAP001,Laptop Dell XPS 13,Informática,15,899.99,Dell Inc.,2024-01-10
WEB006,Webcam HD,Periféricos,-5,79.99,Logitech,2024-01-15
AUR007,Auriculares Bluetooth,Audio,25,GRATIS,Sony,16/01/2024
CAB008,Cable USB-C 2m,Accesorios,100,5.50,Generic,2024-01-17
SSD009,SSD 1TB Samsung,Almacenamiento,30,129.99,Samsung,2024/01/18
MON010,Monitor LG 27 pulgadas,Periféricos,8,250.50,LG,Jan 19 2024
